type,x,y,z,rotation
Block,25.10344,-2.4,0,0
Block,28.68965,-2.4,0,0
Block,53.79309,-2.4,0,0
Block,57.3793,-2.4,0,0
Block,82.48273,0.45,0,0
Block,84.27583,-2.4,0,0
Block,86.06894,0.45,0,0
Block,111.1724,1,0,0
Block,112.9655,-2.4,0,0
Block,115.7586,-2.4,0,0
Block,39.44827,-2.4,0,0
Block,68.13791,-2.4,0,0
Block,120.1379,-2.4,0,0
Block,123.5172,1.95,0,0
Block,124.5172,1.95,0,0
Block,125.5172,1.95,0,0
Block,127.5172,-2.4,0,0
PT_Gravityfalse,129.5172,-0.2,0,0
PT_GravityOn,183.34,-0.15,0,0
Block,200.8275,-1.4,0,0
Block,203.6206,-0.4,0,0
Block,215.1723,-2.4,0,0
Block,218.7241,-2.4,0,0
Block,219.7241,-2.4,0,0
Block,218.7241,-1.4,0,0
Block,219.7241,-1.4,0,0
Block,221.5517,-1.4,0,0
Block,222.5517,-1.4,0,0
Block,221.5517,-0.3999999,0,0
Block,222.5517,-0.3999999,0,0
Block,229.0517,-2.4,0,0
Block,230.0517,-2.4,0,0
Block,236.46,-2.4,0,0
Block,239.4827,-1.4,0,0
PT_Spider,254.6206,-1.3,0,0
Block,247.4482,-2.4,0,0
Block_5x1,60.97,2,0,0
Block_5x1,60.97,1,0,0
Block_2x10,131.0172,2,0,0
Block_2x10,141.0172,2,0,0
Block_2x10,151.0172,2,0,0
Block_2x10,161.0172,2,0,0
Block_2x10,171.0172,2,0,0
Block_1x10,197.2413,-2.4,0,0
Block_1x10,207.2413,1.4,0,0
Block,355.0344,-2.4,0,0
Block,358.3275,-0.3,0,0
Block,360.4137,0.7,0,0
Block,362.2068,-2.4,0,0
Block,363.9999,1.7,0,0
Block,365.793,-0.8,0,0
Block,367.5861,0.7,0,0
Block,369.3792,-2.4,0,0
PT_Gravityfalse,372.9654,-0.77,0,0
Block_1x10,374.4654,4,0,0
PT_GravityOn,380.1378,2,0,0
Block,387.3102,-2.4,0,0
Block,390.8964,-0.7999997,0,0
PT_Gravityfalse,413.4999,-1.31,0,0
Block_5x1,414.4999,3.99,0,0
Block_10x2,419.5861,2.99,0,0
Block_10x2,423.1723,2.99,0,0
Block_10x2,430.3447,3.99,0,0
PT_GravityOn,431.3,1.76,0,0
