type,x,y,z,rotation
Coin,19.5,-2.3,0,0
Coin,21.45,-2.3,0,0
Block,25.35,-2.3,0,0
Block,29.25,-1.3,0,0
Block_2x10,33.15,-2.3,0,0
Block,37.05,-0.3,0,0
Block_2x2,46.8,-1.3,0,0
Block_1x10,54.6,-2.3,0,0
Coin,54.6,-1.3,0,0
Coin,56.55,-1.3,0,0
Coin,60.45,-1.3,0,0
Coin,74.1,-1.3,0,0
Block,78,0.7,0,0
Block,79.95,-2.3,0,0
Block,81.89999,0.7,0,0
Block,83.85,0.7,0,0
Block,85.8,-2.3,0,0
Block,91.64999,-2.3,0,0
Block_1x10,95.55,-1.3,0,0
Block,95.55,-2.3,0,0
Block,97.5,-2.3,0,0
Block,99.45,-2.3,0,0
Block,101.4,-2.3,0,0
Block,103.35,-2.3,0,0
Block,95.55,1.7,0,0
Block,97.5,1.7,0,0
Block,99.45,1.7,0,0
Block,101.4,1.7,0,0
Block,103.35,1.7,0,0
Block,140.4,0.7,0,0
Block,142.35,-2.3,0,0
Block,144.3,0.7,0,0
Block,146.25,0.7,0,0
Block,148.2,-2.3,0,0
Block,154.05,-2.3,0,0
Block_1x10,157.95,-1.3,0,0
Block,157.95,-2.3,0,0
Block,159.9,-2.3,0,0
Block,161.85,-2.3,0,0
Block,163.8,-2.3,0,0
Block,165.75,-2.3,0,0
Block,157.95,1.7,0,0
Block,159.9,1.7,0,0
Block,161.85,1.7,0,0
Block,165.75,1.7,0,0
Coin,95.55,-0.3,0,0
Coin,97.5,-0.3,0,0
Coin,99.45,-0.3,0,0
Coin,101.4,-0.3,0,0
Coin,103.35,-0.3,0,0
Block_2x2,107.3,-2.3,0,0
Block_2x10,111.15,-2.3,0,0
Block_1x10,111.15,-0.3,0,0
Coin,111.15,0.7,0,0
Coin,113.1,0.7,0,0
Coin,115.05,0.7,0,0
Coin,117,0.7,0,0
Coin,118.95,0.7,0,0
Coin,120.9,0.7,0,0
Block,53.6,-2.3,0,0
Coin,122.85,1.7,0,0
Coin,126.75,1.7,0,0
Block_1x10,122.85,-0.3,0,0
Block,136.5,-2.3,0,0
Block_2x2,133.55,-2.3,0,0
Block_2x1,46.8,-2.3,0,0
Coin,169.65,1.7,0,0
Coin,187.2,-2.3,0,0
Coin,189.15,-1.3,0,0
Coin,191.1,-1.86,0,0
Coin,193.05,-1.3,0,0
Block_5x1,196.95,-2.3,0,0
PT_Gravityfalse,201.8,-0.3,0,0
Block_1x10,202.8,3.7,0,0
Block_1x10,212.8,3.7,0,0
Block,212.55,2.7,0,0
Block,216.45,-0.3,0,0
Coin,214.5,2.7,0,0
Coin,212.55,1.7,0,0
Coin,216.43,2.7,0,0
Block_1x10,222.8,3.7,0,0
Block_1x10,219.35,-0.3,0,0
Block_1x10,229.35,-0.3,0,0
PT_GravityOn,220.35,1.7,0,0
Block,226.2,2.7,0,0
Block,230.1,2.7,0,0
Coin,230.1,1.7,0,0
Coin,226.2,1.7,0,0
Block_1x10,239.85,-2.3,0,0
Block,239.85,2.7,0,0
Block_1x10,242.8,3.7,0,0
Block_1x10,247.65,2.7,0,0
Coin,243.75,2.7,0,0
Block,251.3875,1.7,0,0
Block,253.5,-1.3,0,0
Block,255.45,1.7,0,0
