type,x,y,z,rotation
Spike,20.8095,-2.65,0,0
Spike,40.61901,-2.65,0,0
Spike,48.04757,-2.65,0,0
Spike,60.42851,-2.65,0,0
Spike,67.85707,-2.65,0,0
Spike,83.95229,-2.65,0,0
Spike,28.23807,-2.65,0,0
Block,129.7618,-2.65,0,0
Block_2x2,134.7141,-2.65,0,0
Block_3x3,139.6665,-2.65,0,0
Block,130.7618,-2.65,0,0
Block,131.7618,-2.65,0,0
Star_5x1,143.6189,-2.65,0,0
Spike,87.66658,-2.65,0,0
Spike,80.23801,-2.65,0,0
Block,166.9046,-2.65,0,0
Block,171.857,-2.65,0,0
Block_2x10,176.1903,-2.65,0,0
Block_2x10,186.1903,-2.65,0,0
Spike,44.33329,-2.65,0,0
Spike_F,20.8095,8.1,0,180
Spike_F,28.23807,8.1,0,180
Block,40.61901,8.1,0,0
Block,44.33329,8.1,0,0
Block,48.04757,8.1,0,0
Block,47.04757,8.1,0,0
Block,80.23801,7.1,0,0
Block,83.95229,7.1,0,0
Block,87.66658,7.1,0,0
Coin,79.23801,8.18,0,0
Coin,82.95229,8.18,0,0
Coin,86.66658,8.18,0,0
Coin,39.61901,-1.3,0,0
Coin,43.33329,-1.3,0,0
Coin,47.04757,6.7,0,0
Coin,79.23801,-1.3,0,0
Coin,82.95229,-1.3,0,0
Coin,86.66658,-1.3,0,0
Block_1x5,104.9999,-2.65,0,0
Block_1x5,114.9046,4.1,0,0
Coin,103.9999,7.95,0,0
Coin,113.9046,-2.3,0,0
Block_1x5,94.38086,4.1,0,0
Block_5x1,143.6665,-0.6500001,0,0
Block,154.5237,-2.65,0,0
Block,144.6665,0.3499999,0,0
Block,142.6665,-0.6500001,0,0
Spike_F_5x1,131.2618,8.1,0,0
Spike_F_5x1,139.7618,8.1,0,0
Spike_F_5x1,149.7618,8.1,0,0
Block,172.857,-2.65,0,0
Block,184.2379,0.37,0,0
Block,184.2379,-0.63,0,0
Block,194.1427,7.1,0,0
Block,194.1427,8.1,0,0
Coin,183.2379,7.7,0,0
Coin,193.1427,-0.3,0,0
Block,199.095,-0.55,0,0
Block,199.095,5.45,0,0
Block,201.8093,6.95,0,0
Block,198.095,5.45,0,0
Block,200.8093,6.95,0,0
Block,204.0236,8.1,0,0
Block,205.0236,8.1,0,0
Block,201.8093,-1.55,0,0
Block,198.095,-0.55,0,0
